"Name","Path","Description","ScopeName","FolderEnumerationMode"
"ADMIN$","C:\Windows","Administration à distance","*","Unrestricted"
"C$","C:\","Partage par défaut","*","Unrestricted"
"E$","E:\","Partage par défaut","*","Unrestricted"
"IPC$","","IPC distant","*","Unrestricted"
"NETLOGON","C:\Windows\SYSVOL\sysvol\lab.local\SCRIPTS","Partage de serveur d'accŠs ","*","Unrestricted"
"Partages","C:\DFSRoots\Partages","","*","AccessBased"
"Shares","C:\Shares","","*","AccessBased"
"SYSVOL","C:\Windows\SYSVOL\sysvol","Partage de serveur d'accŠs ","*","Unrestricted"
"UsersData","C:\UsersData","","*","AccessBased"
